Time	Distance	Velocity
1.476	0.99871	-0.46166
1.478	0.99778	-0.46673
1.48	0.99684	-0.47177
1.482	0.99589	-0.4768
1.484	0.99493	-0.48181
1.486	0.99396	-0.48681
1.488	0.99298	-0.49179
1.49	0.992	-0.49676
1.492	0.991	-0.50171
1.494	0.98999	-0.50665
1.496	0.98897	-0.51156
1.498	0.98794	-0.51647
1.5	0.98691	-0.52135
1.502	0.98586	-0.52622
1.504	0.9848	-0.53108
1.506	0.98373	-0.53592
1.508	0.98266	-0.54074
1.51	0.98157	-0.54555
1.512	0.98047	-0.55034
1.514	0.97937	-0.55511
1.516	0.97825	-0.55987
1.518	0.97713	-0.56461
1.52	0.976	-0.56934
1.522	0.97485	-0.57405
1.524	0.9737	-0.57874
1.526	0.97254	-0.58341
1.528	0.97137	-0.58807
1.53	0.97018	-0.59272
1.532	0.96899	-0.59735
1.534	0.9678	-0.60196
1.536	0.96659	-0.60655
1.538	0.96537	-0.61113
1.54	0.96414	-0.61569
1.542	0.96291	-0.62024
1.544	0.96166	-0.62477
1.546	0.96041	-0.62928
1.548	0.95914	-0.63377
1.55	0.95787	-0.63825
1.552	0.95659	-0.64271
1.554	0.9553	-0.64716
1.556	0.954	-0.65159
1.558	0.9527	-0.656
1.56	0.95138	-0.6604
1.562	0.95005	-0.66478
1.564	0.94872	-0.66914
1.566	0.94738	-0.67349
1.568	0.94603	-0.67781
1.57	0.94467	-0.68213
1.572	0.9433	-0.68642
1.574	0.94192	-0.6907
1.576	0.94053	-0.69496
1.578	0.93914	-0.69921
1.58	0.93774	-0.70343
1.582	0.93633	-0.70765
1.584	0.93491	-0.71184
1.586	0.93348	-0.71602
1.588	0.93204	-0.72018
1.59	0.9306	-0.72432
1.592	0.92915	-0.72845
1.594	0.92768	-0.73256
1.596	0.92622	-0.73665
1.598	0.92474	-0.74073
1.6	0.92325	-0.74478
1.602	0.92176	-0.74883
1.604	0.92026	-0.75285
1.606	0.91875	-0.75686
1.608	0.91723	-0.76085
1.61	0.9157	-0.76482
1.612	0.91417	-0.76878
